source_id,source_text,target_id,target_text,type,description
entite_1,Code Général des Impôts,entite_2,loi de finances n° 43-06,institué par,Le Code Général des Impôts est institué par la loi de finances n° 43-06.
entite_2,loi de finances n° 43-06,entite_3,Dahir n° 1-06-232,promulguée par,La loi de finances n° 43-06 est promulguée par le Dahir n° 1-06-232.
entite_4,impôt sur les sociétés (I.S),entite_5,impôt sur le revenu (I.R),mesures fiscales en matière de,Des mesures fiscales ont été introduites en matière d'impôt sur les sociétés (I.S) et d'impôt sur le revenu (I.R).
entite_6,Taxe sur la valeur ajoutée (T.V.A),entite_4,,mesures fiscales en matière de,Des mesures fiscales ont été introduites en matière de Taxe sur la valeur ajoutée (T.V.A).
entite_7,Droits d'enregistrement (D.E),entite_4,,mesures fiscales en matière de,Des mesures fiscales ont été introduites en matière de Droits d'enregistrement (D.E).
entite_8,droits de timbre (D.T.),entite_9,taxe spéciale annuelle sur les véhicules (T.S.A.V.),refonte et insertion dans,Les droits de timbre (D.T.) ont été refondus et insérés dans le livre III du code général des impôts.
entite_10,taxe spéciale annuelle sur les véhicules (T.S.A.V),entite_11,taxe à l’essieu,intégration des dispositions de,Les dispositions de la taxe à l’essieu ont été intégrées dans le CGI parmi les dispositions de la taxe spéciale annuelle sur les véhicules (T.S.A.V).
entite_12,taxe sur les contrats d'assurances,entite_13,livre III du code général des impôts,intégration des dispositions de,Les dispositions de la taxe sur les contrats d'assurances ont été intégrées dans le livre III du code général des impôts.
entite_14,loi-cadre n° 69-19,entite_15,réforme fiscale,portant,La loi-cadre n° 69-19 porte sur la réforme fiscale.
entite_16,taxe aérienne pour la solidarité et la promotion touristique,entite_17,livre III du code général des impôts,intégration des dispositions de,Les dispositions de la taxe aérienne pour la solidarité et la promotion touristique ont été intégrées dans le livre III du code général des impôts.
entite_18,taxe spéciale sur le ciment,entite_19,livre III du code général des impôts,intégration des dispositions de,Les dispositions de la taxe spéciale sur le ciment ont été intégrées dans le livre III du code général des impôts.
entite_20,Code Général des Impôts (C.G.I.),entite_21,loi de finances n° 60-24,modifié par,Le Code Général des Impôts (C.G.I.) est modifié par la loi de finances n° 60-24.
entite_22,Dahir n° 1-24-65,entite_20,,promulgué par,La loi de finances n° 60-24 est promulguée par le Dahir n° 1-24-65.
impot_sur_les_societes,L'impôt sur les sociétés,produits_benefices_revenus,"l'ensemble des produits, bénéfices et revenus",applicable sur,"L'impôt sur les sociétés s'applique sur l'ensemble des produits, bénéfices et revenus."
impot_sur_les_societes,L'impôt sur les sociétés,societes_autres_personnes_morales,sociétés et autres personnes morales,applicable sur,L'impôt sur les sociétés s'applique aux sociétés et autres personnes morales.
produits_benefices_revenus,"l'ensemble des produits, bénéfices et revenus",articles_4_et_8,articles 4 et 8,prévu aux,"Les produits, bénéfices et revenus sont prévus aux articles 4 et 8."
societes_autres_personnes_morales,sociétés et autres personnes morales,article_2,article 2,visées à,Les sociétés et autres personnes morales sont visées à l'article 2.
entite_1,les sociétés quels que soient leur forme et leur objet,entite_2,l’impôt sur les sociétés,passible de,Les sociétés sont obligatoirement passibles de l’impôt sur les sociétés.
entite_3,les établissements publics et les autres personnes morales,entite_2,l’impôt sur les sociétés,passible de,Les établissements publics et les autres personnes morales qui se livrent à une exploitation ou à des opérations à caractère lucratif sont passibles de l’impôt sur les sociétés.
entite_4,les associations et les organismes légalement assimilés,entite_2,l’impôt sur les sociétés,passible de,Les associations et les organismes légalement assimilés sont passibles de l’impôt sur les sociétés.
entite_5,les Fonds créés par voie législative ou par convention,entite_2,l’impôt sur les sociétés,passible de,"Les Fonds créés par voie législative ou par convention sont passibles de l’impôt sur les sociétés, sauf exonération."
entite_6,les établissements des sociétés non résidentes ou des groupements desdites sociétés,entite_2,l’impôt sur les sociétés,passible de,Les établissements des sociétés non résidentes ou des groupements desdites sociétés sont passibles de l’impôt sur les sociétés.
entite_7,les sociétés en participation comprenant au moins une personne morale,entite_2,l’impôt sur les sociétés,passible de,Les sociétés en participation comprenant au moins une personne morale sont passibles de l’impôt sur les sociétés.
entite_8,les groupements d’intérêt économique,entite_2,l’impôt sur les sociétés,passible de,Les groupements d’intérêt économique sont passibles de l’impôt sur les sociétés.
entite_9,sociétés en participation comprenant moins de six (6) associés,entite_2,l’impôt sur les sociétés,passible de sur option,Les sociétés en participation comprenant moins de six (6) associés sont passibles de l’impôt sur les sociétés sur option irrévocable.
entite_10,sociétés en nom collectif et sociétés en commandite simple,entite_2,l’impôt sur les sociétés,passible de sur option,Les sociétés en nom collectif et les sociétés en commandite simple sont passibles de l’impôt sur les sociétés sur option irrévocable.
entite_11,sociétés visées à l’alinéa précédent,entite_12,déclaration prévue à l’article 148,mentionner option sur,Les sociétés visées doivent mentionner l’option sur la déclaration prévue à l’article 148.
entite_11,sociétés en cours d’exploitation,entite_13,demande établie sur ou d’après un imprimé-modèle,mentionner option sur,Les sociétés en cours d’exploitation doivent mentionner l’option sur une demande établie sur ou d’après un imprimé-modèle.
entite_14,service des impôts,entite_15,domicile fiscal ou de leur principal établissement,adresse à,La demande doit être remise au service des impôts du lieu de leur domicile fiscal ou de leur principal établissement.
impot_sur_les_societes,Sont exclus du champ d’application de l’impôt sur les sociétés,societes_en_participation,les sociétés en participation comprenant moins de six (6) associés,exclusion,Les sociétés en participation avec moins de six associés sont exclues de l'impôt sur les sociétés.
impot_sur_les_societes,Sont exclus du champ d’application de l’impôt sur les sociétés,societes_en_nom_collectif,les sociétés en nom collectif,exclusion,Les sociétés en nom collectif sont exclues de l'impôt sur les sociétés.
impot_sur_les_societes,Sont exclus du champ d’application de l’impôt sur les sociétés,societes_en_commandite_simple,les sociétés en commandite simple,exclusion,Les sociétés en commandite simple sont exclues de l'impôt sur les sociétés.
impot_sur_les_societes,Sont exclus du champ d’application de l’impôt sur les sociétés,societes_de_fait,les sociétés de fait ne comprenant que des personnes physiques,exclusion,Les sociétés de fait composées uniquement de personnes physiques sont exclues de l'impôt sur les sociétés.
impot_sur_les_societes,Sont exclus du champ d’application de l’impôt sur les sociétés,societes_a_objet_immobilier,les sociétés à objet immobilier,exclusion,Les sociétés à objet immobilier sont exclues de l'impôt sur les sociétés sous certaines conditions.
societes_a_objet_immobilier,"les sociétés à objet immobilier, quelle que soit leur forme",actif_immobilier,lorsque leur actif est constitué soit d'une unité de logement occupée,condition,Les sociétés à objet immobilier sont exclues de l'impôt si leur actif est constitué d'une unité de logement occupée.
societes_a_objet_immobilier,"les sociétés à objet immobilier, quelle que soit leur forme",acquisition_ou_construction,lorsqu'elles ont pour seul objet l'acquisition ou la construction,condition,Les sociétés à objet immobilier sont exclues de l'impôt si leur seul objet est l'acquisition ou la construction d'immeubles.
societes_a_objet_immobilier,les sociétés à objet immobilier,sociétés_immobilieres_transparentes,Les sociétés immobilières visées ci-dessus sont appelées «sociétés immobilières transparentes»,définition,Les sociétés à objet immobilier sont définies comme des sociétés immobilières transparentes.
impot_retenue_source,retenue à la source au titre de l’impôt sur les sociétés ou de l’impôt sur le revenu,produits_actions_parts_sociales,"les produits des actions, parts sociales et revenus assimilés",applicable sur,L'impôt retenu à la source s'applique aux produits des actions et parts sociales.
impot_retenue_source,retenue à la source au titre de l’impôt sur les sociétés ou de l’impôt sur le revenu,produits_placements_revenu_fixe,les produits de placements à revenu fixe et les revenus des certificats de Sukuk,applicable sur,L'impôt retenu à la source s'applique aux produits de placements à revenu fixe et aux certificats de Sukuk.
impot_retenue_source,retenue à la source au titre de l’impôt sur les sociétés ou de l’impôt sur le revenu,produits_bruts,les produits bruts,applicable sur,L'impôt retenu à la source s'applique aux produits bruts.
impot_retenue_source,retenue à la source au titre de l’impôt sur les sociétés ou de l’impôt sur le revenu,remunerations_allouees,Les rémunérations allouées à des tiers,applicable sur,L'impôt retenu à la source s'applique aux rémunérations allouées à des tiers.
produits_actions_parts_sociales,"les produits des actions, parts sociales et revenus assimilés",article_13,visés à l’article 13,défini par,Les produits des actions et parts sociales sont définis par l'article 13.
produits_placements_revenu_fixe,les produits de placements à revenu fixe et les revenus des certificats de Sukuk,article_14,visés respectivement aux articles 14 et 14 bis,défini par,Les produits de placements à revenu fixe sont définis par l'article 14.
produits_bruts,les produits bruts,article_15,visés à l’article 15,défini par,Les produits bruts sont définis par l'article 15.
remunerations_allouees,Les rémunérations allouées à des tiers,article_15_bis,visées à l’article 15 bis,défini par,Les rémunérations allouées à des tiers sont définies par l'article 15 bis.
inscription_en_compte,"L’inscription en compte visée aux paragraphes I, II, III et IV",comptes_courants,"comptes courants d’associés, comptes courants bancaires",comprend,L'inscription en compte comprend les comptes courants d'associés et bancaires.
societes_residentes,"Les sociétés, qu'elles aient ou non un siège au Maroc, sont imposables à raison de l'ensemble des produits, bénéfices et revenus",produits_benefices_revenus,"l'ensemble des produits, bénéfices et revenus",imposable sur,"Les sociétés sont imposables sur l'ensemble des produits, bénéfices et revenus."
societes_non_residentes,"Les sociétés n'ayant pas leur siège au Maroc, appelées « sociétés non résidentes »",produits_bruts_article_15,produits bruts énumérés à l'article 15,imposable sur,Les sociétés non résidentes sont imposables sur les produits bruts énumérés à l'article 15.
societes_non_residentes,sociétés non résidentes,travaux_services,travaux qu'elles exécutent ou de services qu'elles rendent,perception de,Les sociétés non résidentes perçoivent des produits en contrepartie de travaux ou services.
succursales_etablissements,succursales ou établissements au Maroc de la société non résidente,resultat_fiscal,résultat fiscal de la succursale ou de l'établissement,imposé comme,Le résultat fiscal de la succursale ou de l'établissement est imposé comme une société de droit marocain.
conventions_double_imposition,droit d’imposition est attribué au Maroc en vertu des conventions tendant à éviter la double imposition,imposition_maroc,droit d’imposition attribué au Maroc,attribué par,Le droit d’imposition est attribué au Maroc par les conventions de double imposition.
entite_1,impôt sur les sociétés,entite_2,associations et organismes légalement assimilés à but non lucratif,exonération,Les associations et organismes à but non lucratif sont exonérés de l'impôt sur les sociétés pour les opérations conformes à leur objet.
entite_1,impôt sur les sociétés,entite_3,Ligue nationale de lutte contre les maladies cardio-vasculaires,exonération,La Ligue nationale de lutte contre les maladies cardio-vasculaires est exonérée de l'impôt sur les sociétés.
entite_1,impôt sur les sociétés,entite_4,Fondation Hassan II pour la lutte contre le cancer,exonération,La Fondation Hassan II pour la lutte contre le cancer est exonérée de l'impôt sur les sociétés.
entite_1,impôt sur les sociétés,entite_5,associations d'usagers des eaux agricoles,exonération,Les associations d'usagers des eaux agricoles sont exonérées de l'impôt sur les sociétés pour les activités nécessaires à leur fonctionnement.
entite_1,impôt sur les sociétés,entite_6,Fondation Cheikh Zaïd Ibn Soltan,exonération,La Fondation Cheikh Zaïd Ibn Soltan est exonérée de l'impôt sur les sociétés.
entite_1,impôt sur les sociétés,entite_7,Fondation Mohammed V pour la solidarité,exonération,La Fondation Mohammed V pour la solidarité est exonérée de l'impôt sur les sociétés.
entite_1,impôt sur les sociétés,entite_8,Fondation Mohammed VI de promotion des œuvres sociales de l'éducation formation,exonération,La Fondation Mohammed VI de promotion des œuvres sociales de l'éducation formation est exonérée de l'impôt sur les sociétés.
entite_1,impôt sur les sociétés,entite_9,Office national des œuvres universitaires sociales et culturelles,exonération,L'Office national des œuvres universitaires sociales et culturelles est exonéré de l'impôt sur les sociétés.
entite_1,impôt sur les sociétés,entite_10,coopératives et leurs unions,exonération,Les coopératives et leurs unions sont exonérées de l'impôt sur les sociétés sous certaines conditions.
entite_1,impôt sur les sociétés,entite_11,sociétés non résidentes,exonération,Les sociétés non résidentes sont exonérées de l'impôt sur les sociétés pour les plus-values réalisées sur les cessions de valeurs mobilières cotées.
entite_1,impôt sur les sociétés,entite_12,Banque Islamique de Développement (B.I.D.),exonération,La Banque Islamique de Développement est exonérée de l'impôt sur les sociétés.
entite_1,impôt sur les sociétés,entite_13,Banque Africaine de Développement (B.A.D.),exonération,La Banque Africaine de Développement est exonérée de l'impôt sur les sociétés.
entite_1,impôt sur les sociétés,entite_14,Société Financière Internationale (S.F.I.),exonération,La Société Financière Internationale est exonérée de l'impôt sur les sociétés.
entite_1,impôt sur les sociétés,entite_15,Agence Bayt Mal Al Quods Acharif,exonération,L'Agence Bayt Mal Al Quods Acharif est exonérée de l'impôt sur les sociétés.
entite_1,impôt sur les sociétés,entite_16,Agence de Logements et d'Equipements Militaires (A.L.E.M.),exonération,L'Agence de Logements et d'Equipements Militaires est exonérée de l'impôt sur les sociétés.
entite_1,impôt sur les sociétés,entite_17,organismes de placement collectif en valeurs mobilières (O.P.C.V.M.),exonération,Les O.P.C.V.M. sont exonérés de l'impôt sur les sociétés pour les bénéfices réalisés dans le cadre de leur objet légal.
entite_1,impôt sur les sociétés,entite_18,fonds de placements collectifs en titrisation (FPCT),exonération,Les FPCT sont exonérés de l'impôt sur les sociétés pour les bénéfices réalisés dans le cadre de leur objet légal.
